Date;Sampling;Plot;Treat;Rep;Sub_sample;Weight;Phylum_SubPhylum;Class_SubClass;Order_SubOrder;Family_SubFamily;Genus;Species;Unclassified;Stadium;Weighted_Abundance;Trophic_level;Obs;Taxres_max
2022-06-10;1;P03;CON;1;N;1;Arthropoda;Insecta;Odonata;Libellulidae;NA;NA;NA;NA;8;NA;NA;Libellulidae
2022-06-10;1;P03;CON;1;N;1;Arthropoda;Insecta;Diptera;Orthocladiinae;NA;NA;NA;Pupa;9;NA;NA;Orthocladiinae
2022-06-10;1;P03;CON;1;N;1;Arthropoda;Insecta;Diptera;Orthocladiinae;NA;NA;NA;NA;223;NA;NA;Orthocladiinae
2022-06-10;1;P03;CON;1;N;1;Arthropoda;Insecta;Diptera;Tanypodinae;NA;NA;NA;NA;2;NA;NA;Tanypodinae
2022-06-10;1;P03;CON;1;N;1;NA;NA;NA;NA;NA;NA;Sanguijuela pequena;NA;39;NA;NA;NA
2022-06-10;1;P03;CON;1;N;1;Crustacea;Copepoda;Cyclopoida;NA;NA;NA;NA;NA;1325;NA;NA;Cyclopoida
2022-06-10;1;P04;MSD;2;N;1;Arthropoda;Insecta;Diptera;Ceratopogoninae;NA;NA;NA;NA;3;NA;NA;Ceratopogoninae
2022-06-10;1;P04;MSD;2;N;1;Arthropoda;Insecta;Diptera;Chironominae;NA;NA;NA;Pupa;7;NA;NA;Chironominae
2022-06-10;1;P04;MSD;2;Y;2;Arthropoda;Insecta;Diptera;Chironominae;NA;NA;NA;NA;54;NA;NA;Chironominae
2022-06-10;1;P04;MSD;2;N;1;Arthropoda;Insecta;Odonata;Coenagrionidae;NA;NA;NA;NA;4;NA;NA;Coenagrionidae
2022-06-10;1;P04;MSD;2;N;1;Arthropoda;Insecta;Heteroptera;Corixinae;Sigara;nigrolineata;NA;NA;4;NA;NA;nigrolineata
2022-06-10;1;P04;MSD;2;N;1;Crustacea;Branchiopoda;Cladocera;Daphniidae/ Moinidae;NA;NA;NA;NA;1;NA;NA;Daphniidae/ Moinidae
2022-06-10;1;P04;MSD;2;N;1;Arthropoda;Insecta;Diptera;Dolichopodidae;NA;NA;NA;NA;2;NA;NA;Dolichopodidae
2022-06-10;1;P04;MSD;2;N;1;Arthropoda;Insecta;Coleoptera;Dytiscidae;Hydroglyphus;NA;NA;Adult;1;NA;"Enviado; Fotos 72-74";Hydroglyphus
2022-06-10;1;P04;MSD;2;N;1;Arthropoda;Insecta;Coleoptera;Dytiscidae;Hydroglyphus;NA;NA;Larvae;44;NA;NA;Hydroglyphus
2022-06-10;1;P04;MSD;2;N;1;Arthropoda;Insecta;Coleoptera;Hydrophilidae;Helochares;NA;NA;Larvae;1;NA;"Enviado; Fotos 69-71";Helochares
2022-06-10;1;P04;MSD;2;N;1;Arthropoda;Insecta;Odonata;Libellulidae;NA;NA;NA;NA;7;NA;NA;Libellulidae
2022-06-10;1;P04;MSD;2;N;1;Arthropoda;Insecta;Diptera;Orthocladiinae;NA;NA;NA;Pupa;8;NA;Repetido en la hoja (1+7);Orthocladiinae
2022-06-10;1;P04;MSD;2;Y;2;Arthropoda;Insecta;Diptera;Orthocladiinae;NA;NA;NA;NA;288;NA;NA;Orthocladiinae
2022-06-10;1;P04;MSD;2;N;1;NA;NA;NA;NA;NA;NA;Sanguijuela pequena;NA;27;NA;NA;NA
2022-06-10;1;P04;MSD;2;N;1;Crustacea;Copepoda;Cyclopoida;NA;NA;NA;NA;NA;183;NA;NA;Cyclopoida
2022-06-10;1;P05;AWD;2;N;1;Crustacea;Malacostraca;Decapoda;Cambaridae;Procambarus;clarkii;NA;NA;1;NA;NA;clarkii
2022-06-10;1;P05;AWD;2;N;1;Arthropoda;Insecta;Diptera;Ceratopogoninae;NA;NA;NA;NA;4;NA;NA;Ceratopogoninae
2022-06-10;1;P05;AWD;2;N;1;Arthropoda;Insecta;Diptera;Chironominae;NA;NA;NA;Pupa;6;NA;NA;Chironominae
2022-06-10;1;P05;AWD;2;Y;2;Arthropoda;Insecta;Diptera;Chironominae;NA;NA;NA;NA;76;NA;NA;Chironominae
2022-06-10;1;P05;AWD;2;N;1;Arthropoda;Insecta;Odonata;Coenagrionidae;NA;NA;NA;NA;1;NA;NA;Coenagrionidae
2022-06-10;1;P05;AWD;2;N;1;Arthropoda;Insecta;Coleoptera;Curculionidae;Lissorhoptrus;oryzophilus;NA;Adult;2;NA;NA;oryzophilus
2022-06-10;1;P05;AWD;2;N;1;Crustacea;Branchiopoda;Cladocera;Daphniidae/ Moinidae;NA;NA;NA;NA;1;NA;NA;Daphniidae/ Moinidae
2022-06-10;1;P05;AWD;2;N;1;Arthropoda;Insecta;Diptera;Dolichopodidae;NA;NA;NA;NA;5;NA;NA;Dolichopodidae
2022-06-10;1;P05;AWD;2;N;1;Arthropoda;Insecta;Coleoptera;Dytiscidae;Hydroglyphus;NA;NA;Larvae;39;NA;NA;Hydroglyphus
2022-06-10;1;P05;AWD;2;N;1;Arthropoda;Insecta;Diptera;Ephydridae;NA;NA;NA;NA;3;NA;NA;Ephydridae
2022-06-10;1;P05;AWD;2;N;1;Arthropoda;Insecta;Odonata;Libellulidae;NA;NA;NA;NA;1;NA;NA;Libellulidae
2022-06-10;1;P05;AWD;2;N;1;Arthropoda;Insecta;Diptera;Orthocladiinae;NA;NA;NA;Pupa;5;NA;NA;Orthocladiinae
2022-06-10;1;P05;AWD;2;Y;2;Arthropoda;Insecta;Diptera;Orthocladiinae;NA;NA;NA;NA;238;NA;NA;Orthocladiinae
2022-06-10;1;P05;AWD;2;N;1;NA;NA;NA;NA;NA;NA;Larva diptero 1;NA;2;NA;NA;NA
2022-06-10;1;P05;AWD;2;N;1;NA;NA;NA;NA;NA;NA;Larva diptero 2;NA;2;NA;NA;NA
2022-06-10;1;P05;AWD;2;N;1;NA;NA;NA;NA;NA;NA;Sanguijuela pequena;NA;22;NA;NA;NA
2022-06-10;1;P05;AWD;2;N;1;Crustacea;Copepoda;Cyclopoida;NA;NA;NA;NA;NA;206;NA;NA;Cyclopoida
2022-06-10;1;P06;CON;2;N;1;Arthropoda;Insecta;Ephemeroptera;Baetidae;NA;NA;NA;NA;1;NA;NA;Baetidae
2022-06-10;1;P06;CON;2;N;1;Crustacea;Malacostraca;Decapoda;Cambaridae;Procambarus;clarkii;NA;NA;3;NA;NA;clarkii
2022-06-10;1;P06;CON;2;N;1;Arthropoda;Insecta;Diptera;Ceratopogoninae;NA;NA;NA;Pupa;5;NA;NA;Ceratopogoninae
2022-06-10;1;P06;CON;2;N;1;Arthropoda;Insecta;Diptera;Ceratopogoninae;NA;NA;NA;NA;4;NA;NA;Ceratopogoninae
2022-06-10;1;P06;CON;2;N;1;Arthropoda;Insecta;Diptera;Chironominae;NA;NA;NA;Pupa;8;NA;NA;Chironominae
2022-06-10;1;P06;CON;2;Y;2;Arthropoda;Insecta;Diptera;Chironominae;NA;NA;NA;NA;156;NA;NA;Chironominae
2022-06-10;1;P06;CON;2;N;1;Arthropoda;Insecta;Odonata;Coenagrionidae;NA;NA;NA;NA;5;NA;NA;Coenagrionidae
2022-06-10;1;P06;CON;2;N;1;Arthropoda;Insecta;Heteroptera;Corixinae;Sigara;nigrolineata;NA;NA;3;NA;NA;nigrolineata
2022-06-10;1;P06;CON;2;N;1;Arthropoda;Insecta;Coleoptera;Curculionidae;Lissorhoptrus;oryzophilus;NA;Adult;1;NA;NA;oryzophilus
2022-06-10;1;P06;CON;2;N;1;Arthropoda;Insecta;Diptera;Dolichopodidae;NA;NA;NA;NA;7;NA;NA;Dolichopodidae
2022-06-10;1;P06;CON;2;N;1;Arthropoda;Insecta;Coleoptera;Dytiscidae;Hydroglyphus;NA;NA;Adult;2;NA;NA;Hydroglyphus
2022-06-10;1;P06;CON;2;N;1;Arthropoda;Insecta;Coleoptera;Dytiscidae;Hydroglyphus;NA;NA;Larvae;20;NA;NA;Hydroglyphus
2022-06-10;1;P06;CON;2;N;1;Arthropoda;Insecta;Diptera;Ephydridae;NA;NA;NA;NA;1;NA;NA;Ephydridae
2022-06-10;1;P06;CON;2;N;1;Arthropoda;Insecta;Odonata;Libellulidae;NA;NA;NA;NA;16;NA;NA;Libellulidae
2022-06-10;1;P06;CON;2;N;1;Mollusca;Gastropoda;Basommatophora;Lymnaeidae;Radix;peregra;NA;NA;15;NA;NA;peregra
2022-06-10;1;P06;CON;2;N;1;Arthropoda;Insecta;Diptera;Orthocladiinae;NA;NA;NA;Pupa;8;NA;NA;Orthocladiinae
2022-06-10;1;P06;CON;2;Y;2;Arthropoda;Insecta;Diptera;Orthocladiinae;NA;NA;NA;NA;254;NA;NA;Orthocladiinae
2022-06-10;1;P06;CON;2;N;1;Mollusca;Gastropoda;Basommatophora;Physidae;Physa;acuta;NA;NA;2;NA;NA;acuta
2022-06-10;1;P06;CON;2;N;1;Arthropoda;Insecta;Diptera;Tanypodinae;NA;NA;NA;NA;1;NA;NA;Tanypodinae
2022-06-10;1;P06;CON;2;N;1;NA;NA;NA;NA;NA;NA;Sanguijuela peluda;NA;2;NA;"Enviado; Foto 78";NA
2022-06-10;1;P06;CON;2;N;1;NA;NA;NA;NA;NA;NA;Sanguijuela pequena;NA;6;NA;NA;NA
2022-06-10;1;P06;CON;2;N;1;Crustacea;Copepoda;Cyclopoida;NA;NA;NA;NA;NA;1212;NA;NA;Cyclopoida
2022-06-10;1;P07;MSD;3;N;1;Crustacea;Malacostraca;Decapoda;Cambaridae;Procambarus;clarkii;NA;NA;1;NA;NA;clarkii
2022-06-10;1;P07;MSD;3;N;1;Arthropoda;Insecta;Diptera;Ceratopogoninae;NA;NA;NA;Pupa;1;NA;NA;Ceratopogoninae
2022-06-10;1;P07;MSD;3;N;1;Arthropoda;Insecta;Diptera;Ceratopogoninae;NA;NA;NA;NA;3;NA;NA;Ceratopogoninae
2022-06-10;1;P07;MSD;3;N;1;Arthropoda;Insecta;Diptera;Chironominae;NA;NA;NA;Pupa;7;NA;NA;Chironominae
2022-06-10;1;P07;MSD;3;Y;2;Arthropoda;Insecta;Diptera;Chironominae;NA;NA;NA;NA;150;NA;NA;Chironominae
2022-06-10;1;P07;MSD;3;N;1;Arthropoda;Insecta;Heteroptera;Corixinae;Sigara;nigrolineata;NA;NA;3;NA;NA;nigrolineata
2022-06-10;1;P07;MSD;3;N;1;Arthropoda;Insecta;Coleoptera;Curculionidae;Lissorhoptrus;oryzophilus;NA;Adult;1;NA;NA;oryzophilus
2022-06-10;1;P07;MSD;3;N;1;Arthropoda;Insecta;Diptera;Dolichopodidae;NA;NA;NA;NA;10;NA;NA;Dolichopodidae
2022-06-10;1;P07;MSD;3;N;1;Arthropoda;Insecta;Coleoptera;Dytiscidae;Hydroglyphus;NA;NA;Larvae;37;NA;NA;Hydroglyphus
2022-06-10;1;P07;MSD;3;N;1;Arthropoda;Insecta;Diptera;Orthocladiinae;NA;NA;NA;Pupa;9;NA;NA;Orthocladiinae
2022-06-10;1;P07;MSD;3;Y;2;Arthropoda;Insecta;Diptera;Orthocladiinae;NA;NA;NA;NA;274;NA;NA;Orthocladiinae
2022-06-10;1;P07;MSD;3;N;1;Arthropoda;Insecta;Diptera;Stratiomyidae;NA;NA;NA;NA;1;NA;NA;Stratiomyidae
2022-06-10;1;P07;MSD;3;N;1;Arthropoda;Insecta;Diptera;Tanypodinae;NA;NA;NA;NA;1;NA;NA;Tanypodinae
2022-06-10;1;P07;MSD;3;N;1;NA;NA;NA;NA;NA;NA;Larva diptero 1;NA;11;NA;NA;NA
2022-06-10;1;P07;MSD;3;N;1;NA;NA;NA;NA;NA;NA;Sanguijuela pequena;NA;23;NA;NA;NA
2022-06-10;1;P07;MSD;3;N;1;Crustacea;Copepoda;Cyclopoida;NA;NA;NA;NA;NA;207;NA;NA;Cyclopoida
2022-06-10;1;P08;CON;3;N;1;Crustacea;Malacostraca;Decapoda;Cambaridae;Procambarus;clarkii;NA;NA;4;NA;NA;clarkii
2022-06-10;1;P08;CON;3;N;1;Arthropoda;Insecta;Diptera;Ceratopogoninae;NA;NA;NA;Pupa;1;NA;NA;Ceratopogoninae
2022-06-10;1;P08;CON;3;N;1;Arthropoda;Insecta;Diptera;Chironominae;NA;NA;NA;Pupa;8;NA;NA;Chironominae
2022-06-10;1;P08;CON;3;Y;2;Arthropoda;Insecta;Diptera;Chironominae;NA;NA;NA;NA;210;NA;NA;Chironominae
2022-06-10;1;P08;CON;3;N;1;Arthropoda;Insecta;Odonata;Coenagrionidae;NA;NA;NA;NA;3;NA;NA;Coenagrionidae
2022-06-10;1;P08;CON;3;N;1;Arthropoda;Insecta;Heteroptera;Corixinae;Sigara;nigrolineata;NA;NA;6;NA;NA;nigrolineata
2022-06-10;1;P08;CON;3;N;1;Arthropoda;Insecta;Diptera;Culicinae;Culex;NA;NA;Pupa;1;NA;NA;Culex
2022-06-10;1;P08;CON;3;N;1;Arthropoda;Insecta;Coleoptera;Curculionidae;Lissorhoptrus;oryzophilus;NA;Adult;1;NA;NA;oryzophilus
2022-06-10;1;P08;CON;3;N;1;Crustacea;Branchiopoda;Cladocera;Daphniidae/ Moinidae;NA;NA;NA;NA;10;NA;NA;Daphniidae/ Moinidae
2022-06-10;1;P08;CON;3;N;1;Arthropoda;Insecta;Diptera;Dolichopodidae;NA;NA;NA;NA;8;NA;NA;Dolichopodidae
2022-06-10;1;P08;CON;3;N;1;Arthropoda;Insecta;Coleoptera;Dytiscidae;Hydroglyphus;NA;NA;Larvae;38;NA;NA;Hydroglyphus
2022-06-10;1;P08;CON;3;N;1;Arthropoda;Insecta;Diptera;Ephydridae;NA;NA;NA;NA;1;NA;NA;Ephydridae
2022-06-10;1;P08;CON;3;N;1;Arthropoda;Insecta;Odonata;Libellulidae;NA;NA;NA;NA;12;NA;NA;Libellulidae
2022-06-10;1;P08;CON;3;N;1;Mollusca;Gastropoda;Basommatophora;Lymnaeidae;Radix;peregra;NA;NA;3;NA;NA;peregra
2022-06-10;1;P08;CON;3;N;1;Arthropoda;Insecta;Diptera;Orthocladiinae;NA;NA;NA;Pupa;12;NA;NA;Orthocladiinae
2022-06-10;1;P08;CON;3;Y;2;Arthropoda;Insecta;Diptera;Orthocladiinae;NA;NA;NA;NA;218;NA;NA;Orthocladiinae
2022-06-10;1;P08;CON;3;N;1;Mollusca;Gastropoda;Basommatophora;Physidae;Physa;acuta;NA;NA;1;NA;NA;acuta
2022-06-10;1;P08;CON;3;N;1;Mollusca;Gastropoda;Basommatophora;Planorbidae;Planorbis;carinatus;NA;NA;1;NA;NA;carinatus
2022-06-10;1;P08;CON;3;N;1;Arthropoda;Insecta;Diptera;Stratiomyidae;NA;NA;NA;NA;1;NA;NA;Stratiomyidae
2022-06-10;1;P08;CON;3;N;1;NA;NA;NA;NA;NA;NA;Larva diptero 1;NA;1;NA;NA;NA
2022-06-10;1;P08;CON;3;N;1;NA;NA;NA;NA;NA;NA;Larva diptero 2;NA;1;NA;NA;NA
2022-06-10;1;P08;CON;3;N;1;NA;NA;NA;NA;NA;NA;Ooteca sanguijuelas;NA;1;NA;La foto esta en la tarjeta de la lupa;NA
2022-06-10;1;P08;CON;3;N;1;NA;NA;NA;NA;NA;NA;Sanguijuela pequena;NA;19;NA;NA;NA
2022-06-10;1;P08;CON;3;N;1;Crustacea;Copepoda;Cyclopoida;NA;NA;NA;NA;NA;535;NA;NA;Cyclopoida
2022-06-10;1;P09;AWD;3;N;1;Crustacea;Malacostraca;Decapoda;Cambaridae;Procambarus;clarkii;NA;NA;1;NA;NA;clarkii
2022-06-10;1;P09;AWD;3;N;1;Arthropoda;Insecta;Diptera;Ceratopogoninae;NA;NA;NA;NA;3;NA;NA;Ceratopogoninae
2022-06-10;1;P09;AWD;3;N;1;Arthropoda;Insecta;Diptera;Chironominae;NA;NA;NA;Pupa;4;NA;NA;Chironominae
2022-06-10;1;P09;AWD;3;Y;2;Arthropoda;Insecta;Diptera;Chironominae;NA;NA;NA;NA;214;NA;NA;Chironominae
2022-06-10;1;P09;AWD;3;N;1;Arthropoda;Insecta;Heteroptera;Corixinae;Sigara;nigrolineata;NA;NA;4;NA;NA;nigrolineata
2022-06-10;1;P09;AWD;3;N;1;Crustacea;Branchiopoda;Cladocera;Daphniidae/ Moinidae;NA;NA;NA;NA;1;NA;NA;Daphniidae/ Moinidae
2022-06-10;1;P09;AWD;3;N;1;Arthropoda;Insecta;Diptera;Dolichopodidae;NA;NA;NA;NA;8;NA;NA;Dolichopodidae
2022-06-10;1;P09;AWD;3;N;1;Arthropoda;Insecta;Coleoptera;Dytiscidae;Hydroglyphus;NA;NA;Adult;2;NA;"Enviado; Foto 80";Hydroglyphus
2022-06-10;1;P09;AWD;3;N;1;Arthropoda;Insecta;Coleoptera;Dytiscidae;Hydroglyphus;NA;NA;Larvae;40;NA;NA;Hydroglyphus
2022-06-10;1;P09;AWD;3;N;1;Arthropoda;Insecta;Odonata;Libellulidae;NA;NA;NA;NA;2;NA;NA;Libellulidae
2022-06-10;1;P09;AWD;3;N;1;Mollusca;Gastropoda;Basommatophora;Lymnaeidae;Radix;peregra;NA;NA;3;NA;NA;peregra
2022-06-10;1;P09;AWD;3;N;1;Arthropoda;Insecta;Diptera;Orthocladiinae;NA;NA;NA;Pupa;11;NA;NA;Orthocladiinae
2022-06-10;1;P09;AWD;3;Y;2;Arthropoda;Insecta;Diptera;Orthocladiinae;NA;NA;NA;NA;586;NA;NA;Orthocladiinae
2022-06-10;1;P09;AWD;3;N;1;Mollusca;Gastropoda;Basommatophora;Physidae;Physa;acuta;NA;NA;2;NA;NA;acuta
2022-06-10;1;P09;AWD;3;N;1;Mollusca;Gastropoda;Basommatophora;Planorbidae;Planorbis;carinatus;NA;NA;2;NA;NA;carinatus
2022-06-10;1;P09;AWD;3;N;1;Arthropoda;Insecta;Diptera;Tanypodinae;NA;NA;NA;NA;5;NA;NA;Tanypodinae
2022-06-10;1;P09;AWD;3;N;1;NA;NA;NA;NA;NA;NA;Larva diptero 2;NA;2;NA;"Enviado; Foto 82; No estamos seguros que sea la misma";NA
2022-06-10;1;P09;AWD;3;N;1;NA;NA;NA;NA;NA;NA;Larva diptero 3;NA;2;NA;"Enviado; Foto 84";NA
2022-06-10;1;P09;AWD;3;N;1;NA;NA;NA;NA;NA;NA;Pupa diptero;NA;1;NA;"Enviado; Foto 83";NA
2022-06-10;1;P09;AWD;3;N;1;NA;NA;NA;NA;NA;NA;Sanguijuela pequena;NA;18;NA;NA;NA
2022-06-10;1;P09;AWD;3;N;1;Crustacea;Copepoda;Cyclopoida;NA;NA;NA;NA;NA;910;NA;NA;Cyclopoida
2022-06-10;1;P10;AWD;4;N;1;Arthropoda;Insecta;Ephemeroptera;Baetidae;NA;NA;NA;NA;5;NA;NA;Baetidae
2022-06-10;1;P10;AWD;4;N;1;Arthropoda;Insecta;Ephemeroptera;Caenidae;Caenis;NA;NA;NA;1;NA;NA;Caenis
2022-06-10;1;P10;AWD;4;N;1;Crustacea;Malacostraca;Decapoda;Cambaridae;Procambarus;clarkii;NA;NA;3;NA;NA;clarkii
2022-06-10;1;P10;AWD;4;N;1;Arthropoda;Insecta;Diptera;Ceratopogoninae;NA;NA;NA;NA;4;NA;NA;Ceratopogoninae
2022-06-10;1;P10;AWD;4;N;1;Arthropoda;Insecta;Diptera;Chironominae;NA;NA;NA;Pupa;4;NA;NA;Chironominae
2022-06-10;1;P10;AWD;4;Y;2;Arthropoda;Insecta;Diptera;Chironominae;NA;NA;NA;NA;124;NA;NA;Chironominae
2022-06-10;1;P10;AWD;4;N;1;Arthropoda;Insecta;Odonata;Coenagrionidae;NA;NA;NA;NA;2;NA;NA;Coenagrionidae
2022-06-10;1;P10;AWD;4;N;1;Arthropoda;Insecta;Coleoptera;Curculionidae;Lissorhoptrus;oryzophilus;NA;Adult;1;NA;NA;oryzophilus
2022-06-10;1;P10;AWD;4;N;1;Crustacea;Branchiopoda;Cladocera;Daphniidae/ Moinidae;NA;NA;NA;NA;40;NA;NA;Daphniidae/ Moinidae
2022-06-10;1;P10;AWD;4;N;1;Arthropoda;Insecta;Diptera;Dolichopodidae;NA;NA;NA;NA;3;NA;NA;Dolichopodidae
