Treat,Sampling,Plot,Taxres_max,Abundance,prop
AWD,3,P09,Enochrus,2,0.14285714285714285
AWD,3,P09,Helochares,1,0.07142857142857142
AWD,3,P09,Hydroglyphus,2,0.14285714285714285
AWD,3,P09,elegans,3,0.21428571428571427
AWD,3,P09,fonscolombii,2,0.14285714285714285
AWD,3,P09,pygmaea,2,0.14285714285714285
AWD,3,P09,sardeus,1,0.07142857142857142
AWD,3,P09,vittigera,1,0.07142857142857142
AWD,3,P10,Enochrus,3,0.13636363636363635
AWD,3,P10,Helochares,3,0.13636363636363635
AWD,3,P10,Hydroglyphus,1,0.045454545454545456
AWD,3,P10,elegans,1,0.045454545454545456
AWD,3,P10,fonscolombii,1,0.045454545454545456
AWD,3,P10,pygmaea,12,0.5454545454545454
AWD,3,P10,sardeus,1,0.045454545454545456
AWD,3,P14,Enochrus,1,0.1111111111111111
AWD,3,P14,Hydroglyphus,2,0.2222222222222222
AWD,3,P14,elegans,1,0.1111111111111111
AWD,3,P14,pygmaea,5,0.5555555555555556
AWD,4,P01,elegans,4,0.08888888888888889
AWD,4,P01,graellsii,4,0.08888888888888889
AWD,4,P01,pygmaea,29,0.6444444444444445
AWD,4,P01,sardeus,8,0.17777777777777778
AWD,4,P05,elegans,8,0.1568627450980392
AWD,4,P05,graellsii,2,0.0392156862745098
AWD,4,P05,nigrolineata,2,0.0392156862745098
AWD,4,P05,pygmaea,35,0.6862745098039216
AWD,4,P05,sardeus,4,0.0784313725490196
AWD,4,P09,Hydrophilidae,1,0.011764705882352941
AWD,4,P09,elegans,17,0.2
AWD,4,P09,graellsii,12,0.1411764705882353
AWD,4,P09,pygmaea,53,0.6235294117647059
AWD,4,P09,vittigera,2,0.023529411764705882
AWD,4,P10,Hydrophilidae,1,0.041666666666666664
AWD,4,P10,elegans,3,0.125
AWD,4,P10,graellsii,4,0.16666666666666666
AWD,4,P10,pygmaea,13,0.5416666666666666
AWD,4,P10,sardeus,3,0.125
AWD,4,P14,elegans,4,0.14814814814814814
AWD,4,P14,graellsii,2,0.07407407407407407
AWD,4,P14,nigrolineata,4,0.14814814814814814
AWD,4,P14,pygmaea,17,0.6296296296296297
CON,1,P03,Coenagrionidae,6,0.11764705882352941
CON,1,P03,Helochares,1,0.0196078431372549
CON,1,P03,Hydroglyphus,31,0.6078431372549019
CON,1,P03,Libellulidae,8,0.1568627450980392
CON,1,P03,nigrolineata,5,0.09803921568627451
CON,1,P06,Coenagrionidae,5,0.11363636363636363
CON,1,P06,Hydroglyphus,20,0.45454545454545453
CON,1,P06,Libellulidae,16,0.36363636363636365
CON,1,P06,nigrolineata,3,0.06818181818181818
CON,1,P08,Coenagrionidae,3,0.05084745762711865
CON,1,P08,Hydroglyphus,38,0.6440677966101694
CON,1,P08,Libellulidae,12,0.2033898305084746
CON,1,P08,nigrolineata,6,0.1016949152542373
CON,1,P12,Coenagrionidae,7,0.1111111111111111
CON,1,P12,Hydroglyphus,48,0.7619047619047619
CON,1,P12,Libellulidae,5,0.07936507936507936
CON,1,P12,nigrolineata,3,0.047619047619047616
CON,1,P15,Coenagrionidae,2,0.15384615384615385
CON,1,P15,Hydroglyphus,11,0.8461538461538461
CON,2,P03,Coenagrion,4,0.030303030303030304
CON,2,P03,Gerris,4,0.030303030303030304
CON,2,P03,Helochares,6,0.045454545454545456
CON,2,P03,Hydaticus,1,0.007575757575757576
CON,2,P03,Hydroglyphus,1,0.007575757575757576
CON,2,P03,elegans,58,0.4393939393939394
CON,2,P03,fonscolombii,3,0.022727272727272728
CON,2,P03,graellsii,3,0.022727272727272728
CON,2,P03,lefebvrii,1,0.007575757575757576
CON,2,P03,nigrolineata,7,0.05303030303030303
CON,2,P03,pygmaea,44,0.3333333333333333
CON,2,P06,Coenagrion,1,0.00819672131147541
CON,2,P06,Gerris,12,0.09836065573770492
CON,2,P06,Helochares,3,0.02459016393442623
CON,2,P06,Hydroglyphus,18,0.14754098360655737
CON,2,P06,elegans,46,0.3770491803278688
CON,2,P06,fonscolombii,3,0.02459016393442623
CON,2,P06,graellsii,2,0.01639344262295082
CON,2,P06,lefebvrii,0,0
CON,2,P06,nigrolineata,4,0.03278688524590164
CON,2,P06,pygmaea,26,0.21311475409836064
CON,2,P06,sardeus,7,0.05737704918032787
CON,2,P08,Coenagrion,0,0
CON,2,P08,Gerris,10,0.13333333333333333
CON,2,P08,Helochares,4,0.05333333333333334
CON,2,P08,Hydroglyphus,2,0.02666666666666667
CON,2,P08,elegans,18,0.24
CON,2,P08,fonscolombii,6,0.08
CON,2,P08,graellsii,2,0.02666666666666667
CON,2,P08,lefebvrii,1,0.013333333333333334
CON,2,P08,nigrolineata,2,0.02666666666666667
CON,2,P08,pygmaea,13,0.17333333333333334
CON,2,P08,sardeus,4,0.05333333333333334
CON,2,P08,vittigera,13,0.17333333333333334
CON,2,P12,Coenagrion,1,0.0125
CON,2,P12,Gerris,5,0.0625
CON,2,P12,Helochares,1,0.0125
CON,2,P12,Hydroglyphus,6,0.075
CON,2,P12,elegans,24,0.3
CON,2,P12,fonscolombii,1,0.0125
CON,2,P12,graellsii,2,0.025
CON,2,P12,nigrolineata,5,0.0625
CON,2,P12,pygmaea,23,0.2875
CON,2,P12,sardeus,12,0.15
CON,2,P15,Coenagrion,0,0
CON,2,P15,Gerris,2,0.024390243902439025
CON,2,P15,elegans,9,0.10975609756097561
CON,2,P15,fonscolombii,1,0.012195121951219513
CON,2,P15,graellsii,0,0
CON,2,P15,lefebvrii,0,0
CON,2,P15,nigrolineata,7,0.08536585365853659
CON,2,P15,pygmaea,57,0.6951219512195121
CON,2,P15,sardeus,2,0.024390243902439025
CON,2,P15,vittigera,4,0.04878048780487805
CON,3,P03,Gerris,1,0.0136986301369863
CON,3,P03,Hydroglyphus,1,0.0136986301369863
CON,3,P03,elegans,36,0.4931506849315068
CON,3,P03,graellsii,10,0.136986301369863
CON,3,P03,nigrolineata,1,0.0136986301369863
CON,3,P03,pygmaea,22,0.3013698630136986
CON,3,P03,sardeus,2,0.0273972602739726
CON,3,P06,Enochrus,1,0.01098901098901099
CON,3,P06,elegans,39,0.42857142857142855
CON,3,P06,fonscolombii,1,0.01098901098901099
CON,3,P06,graellsii,11,0.12087912087912088
CON,3,P06,nigrolineata,8,0.08791208791208792
CON,3,P06,pygmaea,27,0.2967032967032967
CON,3,P06,sardeus,3,0.03296703296703297
CON,3,P06,vittigera,1,0.01098901098901099
CON,3,P08,elegans,52,0.6933333333333334
CON,3,P08,fonscolombii,3,0.04
CON,3,P08,graellsii,9,0.12
CON,3,P08,pygmaea,7,0.09333333333333334
CON,3,P08,sardeus,3,0.04
CON,3,P08,vittigera,1,0.013333333333333334
CON,3,P12,Gerris,3,0.06
CON,3,P12,elegans,31,0.62
CON,3,P12,graellsii,4,0.08
CON,3,P12,pygmaea,8,0.16
CON,3,P12,sardeus,4,0.08
CON,3,P15,Gerris,2,0.05405405405405406
CON,3,P15,elegans,20,0.5405405405405406
CON,3,P15,graellsii,3,0.08108108108108109
CON,3,P15,pygmaea,8,0.21621621621621623
CON,3,P15,sardeus,4,0.10810810810810811
CON,4,P03,Coenagrion,1,0.043478260869565216
CON,4,P03,elegans,3,0.13043478260869565
CON,4,P03,graellsii,2,0.08695652173913043
CON,4,P03,pygmaea,11,0.4782608695652174
CON,4,P03,sardeus,6,0.2608695652173913
CON,4,P06,Coenagrion,0,0
CON,4,P06,elegans,8,0.26666666666666666
CON,4,P06,graellsii,2,0.06666666666666667
CON,4,P06,pygmaea,16,0.5333333333333333
CON,4,P06,sardeus,4,0.13333333333333333
CON,4,P08,Coenagrion,0,0
CON,4,P08,elegans,6,0.1875
CON,4,P08,graellsii,1,0.03125
CON,4,P08,pygmaea,17,0.53125
CON,4,P08,sardeus,7,0.21875
CON,4,P08,vittigera,1,0.03125
CON,4,P12,Coenagrion,0,0
CON,4,P12,elegans,4,0.12121212121212122
CON,4,P12,graellsii,3,0.09090909090909091
CON,4,P12,pygmaea,14,0.42424242424242425
CON,4,P12,sardeus,11,0.3333333333333333
CON,4,P12,vittigera,1,0.030303030303030304
CON,4,P15,Coenagrion,0,0
CON,4,P15,elegans,12,0.3157894736842105
CON,4,P15,graellsii,5,0.13157894736842105
CON,4,P15,nigrolineata,1,0.02631578947368421
CON,4,P15,pygmaea,16,0.42105263157894735
CON,4,P15,sardeus,4,0.10526315789473684
MSD,1,P02,Coenagrionidae,2,0.03636363636363636
MSD,1,P02,Hydroglyphus,43,0.7818181818181819
MSD,1,P02,Libellulidae,7,0.12727272727272726
MSD,1,P02,nigrolineata,3,0.05454545454545454
MSD,1,P04,Coenagrionidae,4,0.06666666666666667
MSD,1,P04,Helochares,1,0.016666666666666666
MSD,1,P04,Hydroglyphus,44,0.7333333333333333
MSD,1,P04,Libellulidae,7,0.11666666666666667
MSD,1,P04,nigrolineata,4,0.06666666666666667
MSD,1,P07,Hydroglyphus,37,0.925
MSD,1,P07,nigrolineata,3,0.075
MSD,1,P11,Coenagrionidae,1,0.021739130434782608
MSD,1,P11,Hydroglyphus,44,0.9565217391304348
MSD,1,P11,Libellulidae,1,0.021739130434782608
MSD,1,P13,Coenagrionidae,6,0.09230769230769231
MSD,1,P13,Hydroglyphus,52,0.8
MSD,1,P13,nigrolineata,6,0.09230769230769231
MSD,1,P13,suturalis,1,0.015384615384615385
MSD,2,P02,Coenagrion,2,0.05555555555555555
MSD,2,P02,Gerris,1,0.027777777777777776
MSD,2,P02,Helochares,1,0.027777777777777776
MSD,2,P02,elegans,6,0.16666666666666666
MSD,2,P02,pygmaea,24,0.6666666666666666
MSD,2,P02,sardeus,2,0.05555555555555555
MSD,2,P04,Coenagrion,1,0.08333333333333333
MSD,2,P04,Hydaticus,1,0.08333333333333333
MSD,2,P04,elegans,1,0.08333333333333333
MSD,2,P04,pygmaea,9,0.75
MSD,2,P07,Coenagrion,1,0.04
MSD,2,P07,Gerris,1,0.04
MSD,2,P07,Helochares,2,0.08
MSD,2,P07,elegans,1,0.04
MSD,2,P07,nigrolineata,1,0.04
MSD,2,P07,pygmaea,16,0.64
MSD,2,P07,vittigera,3,0.12
MSD,2,P11,Gerris,1,0.125
MSD,2,P11,pygmaea,4,0.5
MSD,2,P11,vittigera,3,0.375
MSD,2,P13,Hydaticus,1,0.16666666666666666
MSD,2,P13,pygmaea,4,0.6666666666666666
MSD,2,P13,vittigera,1,0.16666666666666666
MSD,3,P02,Helochares,1,0.020833333333333332
MSD,3,P02,elegans,26,0.5416666666666666
MSD,3,P02,nigrolineata,6,0.125
MSD,3,P02,pygmaea,5,0.10416666666666667
MSD,3,P02,sardeus,10,0.20833333333333334
MSD,3,P04,Enochrus,1,0.015151515151515152
MSD,3,P04,elegans,42,0.6363636363636364
MSD,3,P04,nigrolineata,9,0.13636363636363635
MSD,3,P04,pygmaea,6,0.09090909090909091
MSD,3,P04,sardeus,8,0.12121212121212122
MSD,3,P07,Helochares,1,0.015384615384615385
MSD,3,P07,elegans,33,0.5076923076923077
MSD,3,P07,nigrolineata,1,0.015384615384615385
MSD,3,P07,pygmaea,17,0.26153846153846155
MSD,3,P07,sardeus,12,0.18461538461538463
MSD,3,P07,vittigera,1,0.015384615384615385
MSD,3,P11,Hydaticus,1,0.02857142857142857
MSD,3,P11,nigrolineata,4,0.11428571428571428
MSD,3,P11,pygmaea,28,0.8
MSD,3,P11,sardeus,1,0.02857142857142857
MSD,3,P11,vittigera,1,0.02857142857142857
MSD,3,P13,Gerris,1,0.015625
MSD,3,P13,elegans,44,0.6875
MSD,3,P13,nigrolineata,5,0.078125
MSD,3,P13,pygmaea,9,0.140625
MSD,3,P13,sardeus,5,0.078125
MSD,4,P02,elegans,4,0.2857142857142857
MSD,4,P02,graellsii,1,0.07142857142857142
MSD,4,P02,pygmaea,6,0.42857142857142855
MSD,4,P02,sardeus,3,0.21428571428571427
MSD,4,P04,elegans,4,0.2222222222222222
MSD,4,P04,graellsii,1,0.05555555555555555
MSD,4,P04,pygmaea,11,0.6111111111111112
MSD,4,P04,sardeus,2,0.1111111111111111
MSD,4,P07,elegans,9,0.2647058823529412
MSD,4,P07,graellsii,2,0.058823529411764705
MSD,4,P07,pygmaea,19,0.5588235294117647
MSD,4,P07,sardeus,4,0.11764705882352941
MSD,4,P11,elegans,4,0.11428571428571428
MSD,4,P11,graellsii,2,0.05714285714285714
MSD,4,P11,pygmaea,25,0.7142857142857143
MSD,4,P11,sardeus,1,0.02857142857142857
MSD,4,P11,vittigera,3,0.08571428571428572
MSD,4,P13,Hydrophilidae,1,0.037037037037037035
MSD,4,P13,elegans,4,0.14814814814814814
MSD,4,P13,graellsii,0,0
MSD,4,P13,pygmaea,21,0.7777777777777778
MSD,4,P13,vittigera,1,0.037037037037037035
