Date,Sampling,Plot,Treat,Sub_sample,Weight,Phylum_SubPhylum,Class_SubClass,Order_SubOrder,Family_SubFamily,Genus,Species,Stadium,Unclassified,Trophic_level,Abundance,Weighted_Abundance,Obs
2022-06-10,1,P02,MSD,Y,2,Arthropoda,Insecta,Diptera,Orthocladiinae,,,,,,267,534,
2022-06-10,1,P02,MSD,Y,2,Arthropoda,Insecta,Diptera,Chironominae,,,,,,50,100,
2022-06-10,1,P02,MSD,N,1,Crustacea,Ostracoda (largo),,,,,,,,9,9,
2022-06-10,1,P02,MSD,N,1,Crustacea,Ostracoda (redondo),,,,,,,,40,40,
2022-06-10,1,P02,MSD,N,1,Arthropoda,Insecta,Odonata,Libellulidae,,,,,,7,7,
2022-06-10,1,P02,MSD,N,1,Arthropoda,Insecta,Coleoptera,Dytiscidae,Bidessus/ Hydroglyphus,sp,Larvae,,,43,43,
2022-06-10,1,P02,MSD,N,1,,,,,,,,Sanguijuela pequena,,55,55,
2022-06-10,1,P02,MSD,N,1,Crustacea,Malacostraca,Decapoda,Cambaridae,Procambarus,clarkii,,,,2,2,
2022-06-10,1,P02,MSD,N,1,Arthropoda,Insecta,Diptera,Ceratopogoninae,,,,,,3,3,
2022-06-10,1,P02,MSD,N,1,Crustacea,Copepoda,Cyclopoida,,,,,,,13,13,
2022-06-10,1,P02,MSD,N,1,Nematoda,,,,,,,,,4,4,
2022-06-10,1,P02,MSD,N,1,Crustacea,Branchiopoda,Cladocera,Daphniidae/ Moinidae,,,,,,7,7,
2022-06-10,1,P02,MSD,N,1,Arthropoda,Insecta,Diptera,Orthocladiinae,,,Pupa,,,8,8,
2022-06-10,1,P02,MSD,N,1,Arthropoda,Insecta,Diptera,Chironominae,,,Pupa,,,5,5,
2022-06-10,1,P02,MSD,N,1,Mollusca,Gastropoda,Basommatophora,Physidae,Physa,acuta,,,,4,4,
2022-06-10,1,P02,MSD,N,1,Arthropoda,Insecta,Diptera,Ceratopogoninae,,,Pupa,,,1,1,
2022-06-10,1,P02,MSD,N,1,Mollusca,Gastropoda,Basommatophora,Lymnaeidae,Radix,sp,,,,1,1,
2022-06-10,1,P02,MSD,N,1,Arthropoda,Insecta,Diptera,Ephydridae,,,,,,2,2,
2022-06-10,1,P02,MSD,N,1,Arthropoda,Insecta,Diptera,Dolichopodidae,,,,,,1,1,
2022-06-10,1,P02,MSD,N,1,Arthropoda,Insecta,Heteroptera,Corixinae,,,,,,3,3,
2022-06-10,1,P02,MSD,N,1,,,,,,,,Larva diptero 1,,1,1,
2022-06-10,1,P02,MSD,N,1,Arthropoda,Insecta,Odonata,Coenagrionidae,,,,,,2,2,
2022-06-10,1,P02,MSD,N,1,Annelida,Oligochaeta,,,,,,,,39,39,
2022-06-10,1,P03,CON,N,1,Arthropoda,Insecta,Diptera,Tanypodinae,,,,,,2,2,
2022-06-10,1,P03,CON,N,1,Crustacea,Malacostraca,Decapoda,Cambaridae,Procambarus,clarkii,,,,1,1,
2022-06-10,1,P03,CON,N,1,Arthropoda,Insecta,Odonata,Libellulidae,,,,,,8,8,
2022-06-10,1,P03,CON,N,1,Arthropoda,Insecta,Coleoptera,Hydrophilidae,Helochares,sp,Larvae,,,1,1,
2022-06-10,1,P03,CON,N,1,Arthropoda,Insecta,Coleoptera,Dytiscidae,Bidessus/ Hydroglyphus,sp,Larvae,,,31,31,
2022-06-10,1,P03,CON,N,1,Arthropoda,Insecta,Odonata,Coenagrionidae,,,,,,6,6,
2022-06-10,1,P03,CON,N,1,Crustacea,Copepoda,Cyclopoida,,,,,,,3,3,
2022-06-10,1,P03,CON,N,1,,,,,,,,Sanguijuela pequena,,39,39,
2022-06-10,1,P03,CON,N,1,Arthropoda,Collembola,,,,,,,,1,1,
2022-06-10,1,P03,CON,N,1,Arthropoda,Insecta,Diptera,Chironominae,,,,,,131,131,
2022-06-10,1,P03,CON,N,1,Arthropoda,Insecta,Diptera,Orthocladiinae,,,,,,223,223,
2022-06-10,1,P03,CON,N,1,Arthropoda,Insecta,Diptera,Chironominae,,,Pupa,,,13,13,
2022-06-10,1,P03,CON,N,1,Arthropoda,Insecta,Diptera,Orthocladiinae,,,Pupa,,,9,9,
2022-06-10,1,P03,CON,Y,2,Crustacea,Ostracoda (redondo),,,,,,,,589,1178,
2022-06-10,1,P03,CON,Y,2,Crustacea,Ostracoda (largo),,,,,,,,57,114,
2022-06-10,1,P03,CON,N,1,Annelida,Oligochaeta,,,,,,,,28,28,
2022-06-10,1,P03,CON,N,1,Arthropoda,Insecta,Heteroptera,Corixinae,,,,,,5,5,
2022-06-10,1,P03,CON,N,1,Nematoda,,,,,,,,,1,1,
2022-06-10,1,P03,CON,N,1,Arthropoda,Insecta,Diptera,Culicinae,Culex,sp,,,,3,3,Enviado; Foto 75
2022-06-10,1,P03,CON,N,1,Arthropoda,Insecta,Diptera,Dolichopodidae,,,,,,4,4,
2022-06-10,1,P03,CON,N,1,Crustacea,Branchiopoda,Cladocera,Daphniidae/ Moinidae,,,,,,62,62,Enviado; Foto 76
2022-06-10,1,P03,CON,N,1,Arthropoda,Insecta,Coleoptera,Curculionidae,,,Adult,,,2,2,
2022-06-10,1,P04,MSD,N,1,Arthropoda,Insecta,Diptera,Orthocladiinae,,,Pupa,,,8,8,Repetido en la hoja (1+7)
2022-06-10,1,P04,MSD,N,1,Arthropoda,Collembola,,,,,,,,2,2,
2022-06-10,1,P04,MSD,N,1,Arthropoda,Insecta,Diptera,Ceratopogoninae,,,,,,3,3,
2022-06-10,1,P04,MSD,N,1,Arthropoda,Insecta,Diptera,Chironominae,,,Pupa,,,7,7,
2022-06-10,1,P04,MSD,N,1,Arthropoda,Insecta,Diptera,Dolichopodidae,,,,,,2,2,
2022-06-10,1,P04,MSD,N,1,Arthropoda,Insecta,Coleoptera,Hydrophilidae,Helochares,sp,Larvae,,,1,1,Enviado; Fotos 69-71
2022-06-10,1,P04,MSD,N,1,Arthropoda,Insecta,Coleoptera,Dytiscidae,Bidessus/ Hydroglyphus,sp,Larvae,,,44,44,
2022-06-10,1,P04,MSD,N,1,Arthropoda,Insecta,Coleoptera,Dytiscidae,Bidessus/ Hydroglyphus,sp,Adult,,,1,1,Enviado; Fotos 72-74
2022-06-10,1,P04,MSD,N,1,Arthropoda,Insecta,Heteroptera,Corixinae,,,,,,4,4,
2022-06-10,1,P04,MSD,Y,2,Arthropoda,Insecta,Diptera,Orthocladiinae,,,,,,144,288,
2022-06-10,1,P04,MSD,Y,2,Arthropoda,Insecta,Diptera,Chironominae,,,,,,27,54,
2022-06-10,1,P04,MSD,N,1,Crustacea,Ostracoda (largo),,,,,,,,18,18,
2022-06-10,1,P04,MSD,N,1,Crustacea,Ostracoda (redondo),,,,,,,,71,71,
2022-06-10,1,P04,MSD,N,1,Annelida,Oligochaeta,,,,,,,,66,66,
2022-06-10,1,P04,MSD,N,1,,,,,,,,Sanguijuela pequena,,27,27,
2022-06-10,1,P04,MSD,N,1,Crustacea,Copepoda,Cyclopoida,,,,,,,26,26,
2022-06-10,1,P04,MSD,N,1,Arthropoda,Insecta,Odonata,Coenagrionidae,,,,,,4,4,
2022-06-10,1,P04,MSD,N,1,Arthropoda,Insecta,Odonata,Libellulidae,,,,,,7,7,
2022-06-10,1,P04,MSD,N,1,Crustacea,Branchiopoda,Cladocera,Daphniidae/ Moinidae,,,,,,1,1,
2022-06-10,1,P05,AWD,N,1,Crustacea,Branchiopoda,Cladocera,Daphniidae/ Moinidae,,,,,,1,1,
2022-06-10,1,P05,AWD,N,1,Arthropoda,Insecta,Odonata,Libellulidae,,,,,,1,1,
2022-06-10,1,P05,AWD,N,1,Arthropoda,Insecta,Diptera,Dolichopodidae,,,,,,5,5,
2022-06-10,1,P05,AWD,N,1,,,,,,,,Larva diptero 1,,2,2,
2022-06-10,1,P05,AWD,N,1,Arthropoda,Insecta,Diptera,Orthocladiinae,,,Pupa,,,5,5,
2022-06-10,1,P05,AWD,N,1,Arthropoda,Insecta,Diptera,Ceratopogoninae,,,,,,2,2,
2022-06-10,1,P05,AWD,N,1,,,,,,,,Larva diptero 2,,2,2,
2022-06-10,1,P05,AWD,N,1,Nematoda,,,,,,,,,4,4,Enviado; Foto 77
2022-06-10,1,P05,AWD,N,1,Arthropoda,Insecta,Diptera,Chironominae,,,Pupa,,,6,6,
2022-06-10,1,P05,AWD,N,1,Arthropoda,Insecta,Diptera,Ephydridae,,,,,,3,3,
2022-06-10,1,P05,AWD,N,1,Arthropoda,Insecta,Odonata,Coenagrionidae,,,,,,1,1,
2022-06-10,1,P05,AWD,N,1,Arthropoda,Insecta,Diptera,Ceratopogoninae,,,,,,2,2,
2022-06-10,1,P05,AWD,N,1,Crustacea,Malacostraca,Decapoda,Cambaridae,Procambarus,clarkii,,,,1,1,
2022-06-10,1,P05,AWD,N,1,Arthropoda,Insecta,Coleoptera,Curculionidae,,,Adult,,,2,2,
2022-06-10,1,P05,AWD,Y,2,Arthropoda,Insecta,Diptera,Orthocladiinae,,,,,,119,238,
2022-06-10,1,P05,AWD,Y,2,Arthropoda,Insecta,Diptera,Chironominae,,,,,,38,76,
2022-06-10,1,P05,AWD,Y,2,Crustacea,Ostracoda (redondo),,,,,,,,48,96,
2022-06-10,1,P05,AWD,Y,2,Crustacea,Ostracoda (largo),,,,,,,,39,78,
2022-06-10,1,P05,AWD,N,1,Arthropoda,Insecta,Coleoptera,Dytiscidae,Bidessus/ Hydroglyphus,sp,Larvae,,,39,39,
2022-06-10,1,P05,AWD,N,1,Annelida,Oligochaeta,,,,,,,,20,20,
2022-06-10,1,P05,AWD,N,1,,,,,,,,Sanguijuela pequena,,22,22,
2022-06-10,1,P05,AWD,N,1,Crustacea,Copepoda,Cyclopoida,,,,,,,8,8,
2022-06-10,1,P06,CON,N,1,Arthropoda,Insecta,Diptera,Ceratopogoninae,,,,,,4,4,
2022-06-10,1,P06,CON,N,1,Arthropoda,Insecta,Diptera,Dolichopodidae,,,,,,7,7,
2022-06-10,1,P06,CON,N,1,Crustacea,Malacostraca,Decapoda,Cambaridae,Procambarus,clarkii,,,,3,3,
2022-06-10,1,P06,CON,N,1,Arthropoda,Insecta,Coleoptera,Dytiscidae,Bidessus/ Hydroglyphus,sp,Larvae,,,20,20,
2022-06-10,1,P06,CON,N,1,Arthropoda,Insecta,Odonata,Coenagrionidae,,,,,,5,5,
2022-06-10,1,P06,CON,N,1,Arthropoda,Insecta,Odonata,Libellulidae,,,,,,16,16,
2022-06-10,1,P06,CON,N,1,Arthropoda,Insecta,Coleoptera,Dytiscidae,Bidessus/ Hydroglyphus,sp,Adult,,,2,2,
2022-06-10,1,P06,CON,N,1,Mollusca,Gastropoda,Basommatophora,Lymnaeidae,Radix,sp,,,,15,15,
2022-06-10,1,P06,CON,N,1,Arthropoda,Insecta,Heteroptera,Corixinae,,,,,,3,3,
2022-06-10,1,P06,CON,N,1,Arthropoda,Insecta,Diptera,Ephydridae,,,,,,1,1,
2022-06-10,1,P06,CON,N,1,Arthropoda,Insecta,Diptera,Ceratopogoninae,,,Pupa,,,5,5,
2022-06-10,1,P06,CON,N,1,Arthropoda,Insecta,Coleoptera,Curculionidae,,,Adult,,,1,1,
2022-06-10,1,P06,CON,N,1,Crustacea,Copepoda,Cyclopoida,,,,,,,16,16,
2022-06-10,1,P06,CON,N,1,Mollusca,Gastropoda,Basommatophora,Physidae,Physa,acuta,,,,2,2,
2022-06-10,1,P06,CON,N,1,Arthropoda,Insecta,Diptera,Tanypodinae,,,,,,1,1,
2022-06-10,1,P06,CON,N,1,,,,,,,,Sanguijuela pequena,,6,6,
2022-06-10,1,P06,CON,N,1,Arthropoda,Collembola,,,,,,,,3,3,
2022-06-10,1,P06,CON,N,1,Arthropoda,Insecta,Ephemeroptera,Baetidae,,,,,,1,1,
2022-06-10,1,P06,CON,N,1,,,,,,,,Sanguijuela peluda,,2,2,Enviado; Foto 78
2022-06-10,1,P06,CON,Y,2,Crustacea,Ostracoda (redondo),,,,,,,,483,966,
2022-06-10,1,P06,CON,Y,2,Arthropoda,Insecta,Diptera,Chironominae,,,,,,78,156,
2022-06-10,1,P06,CON,Y,2,Arthropoda,Insecta,Diptera,Orthocladiinae,,,,,,127,254,
2022-06-10,1,P06,CON,N,1,Arthropoda,Insecta,Diptera,Chironominae,,,Pupa,,,8,8,
2022-06-10,1,P06,CON,N,1,Arthropoda,Insecta,Diptera,Orthocladiinae,,,Pupa,,,8,8,
2022-06-10,1,P06,CON,Y,2,Crustacea,Ostracoda (largo),,,,,,,,99,198,
2022-06-10,1,P06,CON,N,1,Annelida,Oligochaeta,,,,,,,,29,29,
2022-06-10,1,P07,MSD,N,1,Arthropoda,Insecta,Diptera,Dolichopodidae,,,,,,10,10,
2022-06-10,1,P07,MSD,N,1,Arthropoda,Insecta,Diptera,Stratiomyidae,,,,,,1,1,
2022-06-10,1,P07,MSD,N,1,Arthropoda,Insecta,Diptera,Ceratopogoninae,,,,,,3,3,
2022-06-10,1,P07,MSD,N,1,Annelida,Oligochaeta,,,,,,,,54,54,
2022-06-10,1,P07,MSD,N,1,Arthropoda,Collembola,,,,,,,,2,2,
2022-06-10,1,P07,MSD,N,1,Arthropoda,Insecta,Heteroptera,Corixinae,,,,,,3,3,
2022-06-10,1,P07,MSD,N,1,,,,,,,,Larva diptero 1,,11,11,
2022-06-10,1,P07,MSD,N,1,,,,,,,,Sanguijuela pequena,,23,23,
2022-06-10,1,P07,MSD,N,1,Crustacea,Copepoda,Cyclopoida,,,,,,,7,7,
2022-06-10,1,P07,MSD,N,1,Nematoda,,,,,,,,,4,4,
2022-06-10,1,P07,MSD,N,1,Arthropoda,Insecta,Diptera,Tanypodinae,,,,,,1,1,
2022-06-10,1,P07,MSD,N,1,Crustacea,Malacostraca,Decapoda,Cambaridae,Procambarus,clarkii,,,,1,1,
2022-06-10,1,P07,MSD,N,1,Arthropoda,Insecta,Coleoptera,Dytiscidae,Bidessus/ Hydroglyphus,sp,Larvae,,,37,37,
2022-06-10,1,P07,MSD,N,1,Arthropoda,Insecta,Diptera,Ceratopogoninae,,,Pupa,,,1,1,
2022-06-10,1,P07,MSD,N,1,Arthropoda,Insecta,Coleoptera,Curculionidae,,,Adult,,,1,1,
2022-06-10,1,P07,MSD,N,1,Crustacea,Ostracoda (azul),,,,,,,,2,2,
2022-06-10,1,P07,MSD,N,1,Crustacea,Ostracoda (redondo),,,,,,,,65,65,
2022-06-10,1,P07,MSD,N,1,Crustacea,Ostracoda (largo),,,,,,,,73,73,
2022-06-10,1,P07,MSD,N,1,Arthropoda,Insecta,Diptera,Orthocladiinae,,,Pupa,,,9,9,
2022-06-10,1,P07,MSD,N,1,Arthropoda,Insecta,Diptera,Chironominae,,,Pupa,,,7,7,
2022-06-10,1,P07,MSD,Y,2,Arthropoda,Insecta,Diptera,Orthocladiinae,,,,,,137,274,
2022-06-10,1,P07,MSD,Y,2,Arthropoda,Insecta,Diptera,Chironominae,,,,,,75,150,
2022-06-10,1,P08,CON,Y,2,Crustacea,Ostracoda (azul),,,,,,,,4,8,
2022-06-10,1,P08,CON,Y,2,Crustacea,Ostracoda (redondo),,,,,,,,198,396,
2022-06-10,1,P08,CON,Y,2,Crustacea,Ostracoda (largo),,,,,,,,52,104,
2022-06-10,1,P08,CON,N,1,Arthropoda,Insecta,Diptera,Dolichopodidae,,,,,,8,8,
2022-06-10,1,P08,CON,N,1,Arthropoda,Insecta,Diptera,Chironominae,,,Pupa,,,8,8,
2022-06-10,1,P08,CON,N,1,Arthropoda,Insecta,Diptera,Orthocladiinae,,,Pupa,,,12,12,
2022-06-10,1,P08,CON,N,1,Crustacea,Malacostraca,Decapoda,Cambaridae,Procambarus,clarkii,,,,4,4,
2022-06-10,1,P08,CON,N,1,,,,,,,,Larva diptero 1,,1,1,
2022-06-10,1,P08,CON,N,1,,,,,,,,Larva diptero 2,,1,1,
2022-06-10,1,P08,CON,N,1,Arthropoda,Insecta,Diptera,Ephydridae,,,,,,1,1,
2022-06-10,1,P08,CON,N,1,Mollusca,Gastropoda,Basommatophora,Lymnaeidae,Radix,sp,,,,3,3,
2022-06-10,1,P08,CON,N,1,Arthropoda,Insecta,Odonata,Coenagrionidae,,,,,,3,3,
2022-06-10,1,P08,CON,N,1,Arthropoda,Insecta,Odonata,Libellulidae,,,,,,12,12,
2022-06-10,1,P08,CON,N,1,Crustacea,Branchiopoda,Cladocera,Daphniidae/ Moinidae,,,,,,10,10,
2022-06-10,1,P08,CON,N,1,Arthropoda,Insecta,Diptera,Ceratopogoninae,,,Pupa,,,1,1,
2022-06-10,1,P08,CON,N,1,Arthropoda,Insecta,Heteroptera,Corixinae,,,,,,6,6,
2022-06-10,1,P08,CON,N,1,Arthropoda,Insecta,Coleoptera,Curculionidae,,,Adult,,,1,1,
2022-06-10,1,P08,CON,N,1,Mollusca,Gastropoda,Basommatophora,Physidae,Physa,acuta,,,,1,1,
2022-06-10,1,P08,CON,N,1,Arthropoda,Collembola,,,,,,,,1,1,
2022-06-10,1,P08,CON,N,1,,,,,,,,Ooteca sanguijuelas,,1,1,La foto esta en la tarjeta de la lupa
2022-06-10,1,P08,CON,N,1,Arthropoda,Insecta,Diptera,Culicinae,,,Pupa,,,1,1,
2022-06-10,1,P08,CON,N,1,Mollusca,Gastropoda,Basommatophora,Planorbidae,,,,,,1,1,
2022-06-10,1,P08,CON,N,1,Arthropoda,Insecta,Diptera,Stratiomyidae,,,,,,1,1,
2022-06-10,1,P08,CON,Y,2,Arthropoda,Insecta,Diptera,Orthocladiinae,,,,,,109,218,
2022-06-10,1,P08,CON,Y,2,Arthropoda,Insecta,Diptera,Chironominae,,,,,,105,210,
2022-06-10,1,P08,CON,N,1,Arthropoda,Insecta,Coleoptera,Dytiscidae,Bidessus/ Hydroglyphus,sp,Larvae,,,38,38,
2022-06-10,1,P08,CON,N,1,Annelida,Oligochaeta,,,,,,,,3,3,
2022-06-10,1,P08,CON,N,1,,,,,,,,Sanguijuela pequena,,19,19,
2022-06-10,1,P08,CON,N,1,Crustacea,Copepoda,Cyclopoida,,,,,,,23,23,
2022-06-10,1,P09,AWD,N,1,Arthropoda,Insecta,Diptera,Dolichopodidae,,,,,,8,8,
2022-06-10,1,P09,AWD,N,1,Arthropoda,Insecta,Coleoptera,Dytiscidae,Bidessus/ Hydroglyphus,sp,Larvae,,,40,40,
2022-06-10,1,P09,AWD,N,1,Arthropoda,Insecta,Coleoptera,Dytiscidae,Bidessus/ Hydroglyphus,sp,Adult,,,2,2,Enviado; Foto 80
2022-06-10,1,P09,AWD,N,1,Crustacea,Malacostraca,Decapoda,Cambaridae,Procambarus,clarkii,,,,1,1,
2022-06-10,1,P09,AWD,N,1,Mollusca,Gastropoda,Basommatophora,Planorbidae,Gyraulus,sp,,,,2,2,
2022-06-10,1,P09,AWD,N,1,Mollusca,Gastropoda,Basommatophora,Lymnaeidae,Radix,sp,,,,3,3,
2022-06-10,1,P09,AWD,N,1,Arthropoda,Insecta,Heteroptera,Corixinae,,,,,,4,4,
2022-06-10,1,P09,AWD,N,1,Mollusca,Gastropoda,Basommatophora,Physidae,Physa,acuta,,,,2,2,
2022-06-10,1,P09,AWD,N,1,Arthropoda,Insecta,Odonata,Libellulidae,,,,,,2,2,
2022-06-10,1,P09,AWD,N,1,Arthropoda,Insecta,Diptera,Ceratopogoninae,,,,,,3,3,
2022-06-10,1,P09,AWD,N,1,Arthropoda,Insecta,Diptera,Tanypodinae,,,,,,5,5,
2022-06-10,1,P09,AWD,N,1,Arthropoda,Collembola,,,,,,,,1,1,
2022-06-10,1,P09,AWD,N,1,,,,,,,,Larva diptero 2,,1,1,Enviado; Foto 82; No estamos seguros que sea la misma
2022-06-10,1,P09,AWD,N,1,Nematoda,,,,,,,,,4,4,
2022-06-10,1,P09,AWD,N,1,Crustacea,Copepoda,Cyclopoida,,,,,,,4,4,
2022-06-10,1,P09,AWD,N,1,,,,,,,,Larva diptero 2,,1,1,
2022-06-10,1,P09,AWD,N,1,,,,,,,,Sanguijuela pequena,,18,18,
2022-06-10,1,P09,AWD,N,1,Crustacea,Branchiopoda,Cladocera,Daphniidae/ Moinidae,,,,,,1,1,
2022-06-10,1,P09,AWD,N,1,,,,,,,,Pupa diptero,,1,1,Enviado; Foto 83
2022-06-10,1,P09,AWD,N,1,,,,,,,,Larva diptero 3,,2,2,Enviado; Foto 84
2022-06-10,1,P09,AWD,Y,2,Crustacea,Ostracoda (redondo),,,,,,,,334,668,
2022-06-10,1,P09,AWD,Y,2,Crustacea,Ostracoda (largo),,,,,,,,81,162,
2022-06-10,1,P09,AWD,Y,2,Crustacea,Ostracoda (azul),,,,,,,,3,6,
2022-06-10,1,P09,AWD,N,1,Annelida,Oligochaeta,,,,,,,,65,65,
2022-06-10,1,P09,AWD,Y,2,Arthropoda,Insecta,Diptera,Chironominae,,,,,,107,214,
2022-06-10,1,P09,AWD,N,1,Arthropoda,Insecta,Diptera,Chironominae,,,Pupa,,,4,4,
2022-06-10,1,P09,AWD,Y,2,Arthropoda,Insecta,Diptera,Orthocladiinae,,,,,,293,586,
2022-06-10,1,P09,AWD,N,1,Arthropoda,Insecta,Diptera,Orthocladiinae,,,Pupa,,,11,11,
2022-06-10,1,P10,AWD,N,1,Crustacea,Malacostraca,Decapoda,Cambaridae,Procambarus,clarkii,,,,3,3,
2022-06-10,1,P10,AWD,N,1,Arthropoda,Insecta,Odonata,Libellulidae,,,,,,4,4,
2022-06-10,1,P10,AWD,N,1,Mollusca,Gastropoda,Basommatophora,Lymnaeidae,Radix,sp,,,,7,7,
2022-06-10,1,P10,AWD,N,1,Arthropoda,Insecta,Coleoptera,Dytiscidae,Bidessus/ Hydroglyphus,sp,Larvae,,,46,46,
2022-06-10,1,P10,AWD,N,1,Arthropoda,Insecta,Ephemeroptera,Baetidae,,,,,,5,5,
2022-06-10,1,P10,AWD,N,1,Arthropoda,Insecta,Coleoptera,Curculionidae,,,Adult,,,1,1,
2022-06-10,1,P10,AWD,N,1,Mollusca,Gastropoda,Basommatophora,Physidae,Physa,acuta,,,,5,5,
2022-06-10,1,P10,AWD,N,1,Arthropoda,Insecta,Diptera,Dolichopodidae,,,,,,3,3,
2022-06-10,1,P10,AWD,N,1,Arthropoda,Insecta,Diptera,Tanypodinae,,,,,,5,5,
2022-06-10,1,P10,AWD,N,1,Arthropoda,Insecta,Diptera,Ceratopogoninae,,,,,,4,4,
2022-06-10,1,P10,AWD,N,1,Arthropoda,Insecta,Ephemeroptera,Caenidae,Caenis,sp,,,,1,1,
2022-06-10,1,P10,AWD,N,1,Arthropoda,Insecta,Odonata,Coenagrionidae,,,,,,2,2,
2022-06-10,1,P10,AWD,N,1,,,,,,,,Sanguijuela pequena,,37,37,
2022-06-10,1,P10,AWD,N,1,Arthropoda,Insecta,Coleoptera,Dytiscidae,Bidessus/ Hydroglyphus,sp,Adult,,,3,3,
2022-06-10,1,P10,AWD,N,1,Crustacea,Copepoda,Cyclopoida,,,,,,,7,7,
2022-06-10,1,P10,AWD,N,1,,,,,,,,Larva diptero 1,,2,2,
2022-06-10,1,P10,AWD,N,1,Crustacea,Branchiopoda,Cladocera,Daphniidae/ Moinidae,,,,,,40,40,
2022-06-10,1,P10,AWD,N,1,Nematoda,,,,,,,,,1,1,
2022-06-10,1,P10,AWD,N,1,,,,,,,,Pupa diptero 1,,2,2,Enviado; Foto 85
2022-06-10,1,P10,AWD,N,1,Arthropoda,Insecta,Coleoptera,Dytiscidae,,,,,,2,2,Enviado; Foto 93; Llegamos a sF. Colymbetinae; Comprovar estado
2022-06-10,1,P10,AWD,Y,2,Crustacea,Ostracoda (redondo),,,,,,,,970,1940,
2022-06-10,1,P10,AWD,Y,2,Crustacea,Ostracoda (largo),,,,,,,,65,130,
2022-06-10,1,P10,AWD,Y,2,Crustacea,Ostracoda (azul),,,,,,,,5,10,
2022-06-10,1,P10,AWD,N,1,Annelida,Oligochaeta,,,,,,,,18,18,
2022-06-10,1,P10,AWD,Y,2,Arthropoda,Insecta,Diptera,Chironominae,,,,,,62,124,
2022-06-10,1,P10,AWD,N,1,Arthropoda,Insecta,Diptera,Chironominae,,,Pupa,,,4,4,
2022-06-10,1,P10,AWD,Y,2,Arthropoda,Insecta,Diptera,Orthocladiinae,,,,,,169,338,
2022-06-10,1,P10,AWD,N,1,Arthropoda,Insecta,Diptera,Orthocladiinae,,,Pupa,,,4,4,
2022-06-10,1,P11,MSD,N,1,Crustacea,Malacostraca,Decapoda,Cambaridae,Procambarus,clarkii,,,,1,1,
2022-06-10,1,P11,MSD,N,1,,,,,,,,Larva diptero 1,,1,1,
2022-06-10,1,P11,MSD,N,1,,,,,,,,Pupa diptero 1,,2,2,
2022-06-10,1,P11,MSD,N,1,Arthropoda,Insecta,Diptera,Dolichopodidae,,,,,,9,9,
2022-06-10,1,P11,MSD,N,1,Mollusca,Gastropoda,Basommatophora,Lymnaeidae,Radix,sp,,,,3,3,
2022-06-10,1,P11,MSD,Y,2,Crustacea,Ostracoda (azul),,,,,,,,4,8,
